Location ,Date of collection ,Clade
HCMC,20-May-22,C
HCMC,20-Jun-22,B
Long An,23-May-22,B
Long An,3-Jun-22,C
Long An,9-May-22,B
Bình Phước,25-May-22,B
Bình Phước,12-Oct-19,C
HCMC,24-Sep-20,C
HCMC,5-Aug-20,A
HCMC,22-Feb-21,A
Bình Dương,14-Nov-20,A
Đồng Nai,17-Oct-19,A
HCMC,15-Jul-19,A
HCMC,21-Mar-18,A
HCMC,3-Jul-19,A
HCMC,30-Nov-20,A
HCMC,9-Nov-20,C
HCMC,1-Sep-20,C
HCMC,31-Aug-20,C
HCMC,23-Jul-19,A
HCMC,7-Sep-20,A
Long An,25-May-22,C
Bình Phước,7-Jun-19,C
Bình Phước,14-Aug-19,C
TÂY NINH,23-Sep-20,C
TÂY NINH,31-Jul-19,C
HCMC,2-Mar-20,A
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
