"strain","country","state","date","latitude","longitude","region","num_date"
"Cambodia|NA|OP999336|109-0389|Dengue_2|WG|External|2020-09-15|2020.70410958904","Cambodia","NA","2020-09-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OL414731|109-0389_2020-09-04|Dengue_2|WG|External|2020-09-15|2020.70410958904","Cambodia","NA","2020-09-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OL414750|109-0304_2020-07-05|Dengue_2|WG|External|2020-07-15|2020.53424657534","Cambodia","NA","2020-07-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OL414753|109-0352_2020-08-09|Dengue_2|WG|External|2020-08-15|2020.61917808219","Cambodia","NA","2020-08-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OL414752|109-0334_2020-07-29|Dengue_2|WG|External|2020-07-15|2020.53424657534","Cambodia","NA","2020-07-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OL414733|109-0350_2020-08-10|Dengue_2|WG|External|2020-08-15|2020.61917808219","Cambodia","NA","2020-08-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OL414751|109-0318_2020-07-14|Dengue_2|WG|External|2020-07-15|2020.53424657534","Cambodia","NA","2020-07-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OL414757|109-0384_2020-09-01|Dengue_2|WG|External|2020-09-15|2020.70410958904","Cambodia","NA","2020-09-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OL414756|109-0377_2020-08-29|Dengue_2|WG|External|2020-08-15|2020.61917808219","Cambodia","NA","2020-08-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OP999339|109-0384|Dengue_2|WG|External|2010-09-15|2010.70410958904","Cambodia","NA","2010-09-15",12.5433216,104.8144914,"SEA",2010
"Cambodia|NA|OL414754|109-0353_2020-08-10|Dengue_2|WG|External|2020-08-15|2020.61917808219","Cambodia","NA","2020-08-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OL414765|109-0349_2020-08-10|Dengue_2|WG|External|2020-08-15|2020.61917808219","Cambodia","NA","2020-08-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OL414758|109-0408_2020-09-23|Dengue_2|WG|External|2020-09-15|2020.70410958904","Cambodia","NA","2020-09-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OQ000263|109-0408|Dengue_2|WG|External|2020-09-15|2020.70410958904","Cambodia","NA","2020-09-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OL414749|109-0293_2020-06-17|Dengue_2|WG|External|2020-06-15|2020.45205479452","Cambodia","NA","2020-06-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OL414732|109-0376_2020-08-28|Dengue_2|WG|External|2020-08-15|2020.61917808219","Cambodia","NA","2020-08-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OL414764|109-0372_2020-08-27|Dengue_2|WG|External|2020-08-15|2020.61917808219","Cambodia","NA","2020-08-15",12.5433216,104.8144914,"SEA",2020
"Cambodia|NA|OL414755|109-0363_2020-08-13|Dengue_2|WG|External|2020-08-15|2020.61917808219","Cambodia","NA","2020-08-15",12.5433216,104.8144914,"SEA",2020
"Viet_Nam|NA|OQ028216|56DX-114-401|Dengue_2|WG|External|2022-05-25|2022.39452054795","Viet_Nam","NA","2022-05-25",15.9266657,107.9650855,"SEA",2022
"Viet_Nam|NA|OQ028217|28EI-003-001|Dengue_2|WG|External|2019-06-07|2019.4301369863","Viet_Nam","NA","2019-06-07",15.9266657,107.9650855,"SEA",2019
"Viet_Nam|NA|OQ028220|28EI-003-031|Dengue_2|WG|External|2019-08-14|2019.61643835616","Viet_Nam","NA","2019-08-14",15.9266657,107.9650855,"SEA",2019
"Viet_Nam|NA|OQ028225|28EI-003-118|Dengue_2|WG|External|2020-09-23|2020.72602739726","Viet_Nam","NA","2020-09-23",15.9266657,107.9650855,"SEA",2020
"Viet_Nam|NA|OQ028227|28EI-003-022|Dengue_2|WG|External|2019-07-31|2019.57808219178","Viet_Nam","NA","2019-07-31",15.9266657,107.9650855,"SEA",2019
"Cambodia|NA|ON908224|19XN17542|Dengue_2|WG|External|2019-07-08|2019.51506849315","Cambodia","NA","2019-07-08",12.5433216,104.8144914,"SEA",2019
"Cambodia|NA|ON887284|19XN17542_D2_KHM|Dengue_2|WG|External|2019-07-08|2019.51506849315","Cambodia","NA","2019-07-08",12.5433216,104.8144914,"SEA",2019
"China|NA|MN923109|19XN17542|Dengue_2|WG|External|2019-07-08|2019.51506849315","China","NA","2019-07-08",35.000074,104.999927,"SEA",2019
"Cambodia|NA|OL414718|100-0160_2019-07-29|Dengue_2|WG|External|2019-07-15|2019.53424657534","Cambodia","NA","2019-07-15",12.5433216,104.8144914,"SEA",2019
