"name","assignment","length","begin","end","species","species.score","type","type.support","subtype","subtype.support"
"Cambodia|NA|OP999336|109-0389|Dengue_2|WG|External|2020-09-15|2020.70410958904","2II",10694,10,10703,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"Cambodia|NA|OP999339|109-0384|Dengue_2|WG|External|2010-09-15|2010.70410958904","2II",10693,10,10702,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"Cambodia|NA|OQ000263|109-0408|Dengue_2|WG|External|2020-09-15|2020.70410958904","2II",10477,119,10595,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"Viet_Nam|NA|OQ028205|44DX3-071|Dengue_2|E|External|2017-03-27|2017.23287671233","2V",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"Viet_Nam|NA|OQ028206|44DX3-253|Dengue_2|E|External|2018-03-21|2018.21643835616","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"Viet_Nam|NA|OQ028207|44DX3-305|Dengue_2|E|External|2019-07-03|2019.50136986301","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"Viet_Nam|NA|OQ028208|44DX3-313|Dengue_2|E|External|2019-07-15|2019.53424657534","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"Viet_Nam|NA|OQ028209|44DX3-356|Dengue_2|E|External|2020-08-31|2020.66301369863","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"Viet_Nam|NA|OQ028210|44DX3-357|Dengue_2|E|External|2020-09-01|2020.66575342466","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"Viet_Nam|NA|OQ028211|44DX3-379|Dengue_2|E|External|2020-11-09|2020.85479452055","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"Viet_Nam|NA|OQ028212|44DX3-386|Dengue_2|E|External|2020-11-30|2020.91232876712","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"Viet_Nam|NA|OQ028213|44DX3-311|Dengue_2|E|External|2019-07-23|2019.55616438356","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"Viet_Nam|NA|OQ028214|44DX3-297|Dengue_2|E|External|2019-06-10|2019.43835616438","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"Viet_Nam|NA|OQ028215|53DX-123-102|Dengue_2|WG|External|2019-08-14|2019.61643835616","2V",10173,97,10269,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"Viet_Nam|NA|OQ028216|56DX-114-401|Dengue_2|WG|External|2022-05-25|2022.39452054795","2II",10173,97,10269,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"Viet_Nam|NA|OQ028217|28EI-003-001|Dengue_2|WG|External|2019-06-07|2019.4301369863","2II",10173,97,10269,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"Viet_Nam|NA|OQ028218|28EI-003-060|Dengue_2|WG|External|2019-10-14|2019.78356164384","2V",10173,97,10269,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"Viet_Nam|NA|OQ028219|28EI-003-099|Dengue_2|WG|External|2020-01-15|2020.03835616438","2V",10173,97,10269,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"Viet_Nam|NA|OQ028220|28EI-003-031|Dengue_2|WG|External|2019-08-14|2019.61643835616","2II",10173,97,10269,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"Viet_Nam|NA|OQ028221|28EI-003-077|Dengue_2|WG|External|2019-11-13|2019.86575342466","2V",10173,97,10269,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",92,NA,NA
"Viet_Nam|NA|OQ028222|28EI-003-004|Dengue_2|WG|External|2019-06-25|2019.47945205479","2V",10173,97,10269,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"Viet_Nam|NA|OQ028223|28EI-003-090|Dengue_2|WG|External|2019-12-16|2019.95616438356","2V",10173,97,10269,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"Viet_Nam|NA|OQ028224|28EI-003-043|Dengue_2|WG|External|2019-09-09|2019.68767123288","2V",10173,97,10269,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"Viet_Nam|NA|OQ028225|28EI-003-118|Dengue_2|WG|External|2020-09-23|2020.72602739726","2II",10173,97,10269,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"Viet_Nam|NA|OQ028226|28EI-003-024|Dengue_2|WG|External|2019-08-01|2019.58082191781","2V",10173,97,10269,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"Viet_Nam|NA|OQ028227|28EI-003-022|Dengue_2|WG|External|2019-07-31|2019.57808219178","2II",10173,97,10269,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"Viet_Nam|NA|OQ028228|28EI-003-005|Dengue_2|WG|External|2019-06-26|2019.48219178082","2V",10173,97,10269,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"Viet_Nam|NA|OQ028229|44DX3-194|Dengue_2|WG|External|2017-08-03|2017.58630136986","2V",10173,97,10269,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"Viet_Nam|NA|OQ028230|44DX3-359|Dengue_2|WG|External|2020-09-07|2020.68219178082","2II",10173,97,10269,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"Viet_Nam|NA|OQ028231|44DX3-250|Dengue_2|WG|External|2018-01-17|2018.04383561644","2V",10173,97,10269,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"Viet_Nam|NA|OQ028232|44DX3-329|Dengue_2|WG|External|2020-03-02|2020.16438356164","2II",10173,97,10269,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"Viet_Nam|NA|OP984834|22GZ11862_VNM|Dengue_2|WG|External|2022-11-20|2022.88493150685","2II",10628,22,10649,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"India|NA|OP954455|D2FP_TII448.ab1|Dengue_2|E|External|2022-09-02|2022.66849315068","2II",1125,937,2061,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"India|NA|OP954456|D2FP_TIJ517.ab1|Dengue_2|E|External|2022-10-20|2022.8","2II",995,937,1931,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"India|NA|OP954457|D2FP_TIJ637.ab1|Dengue_2|E|External|2022-10-20|2022.8","2II",1103,937,2039,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"India|NA|OP954458|D2FP_TIJ864.ab1|Dengue_2|E|External|2022-11-02|2022.83561643836","2II",1048,937,1984,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"India|NA|OP954459|D2FP_TIK161.ab1|Dengue_2|E|External|2022-11-02|2022.83561643836","2II",1042,937,1978,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"India|NA|OP954460|D2FP_TIK435.ab1|Dengue_2|E|External|2022-11-02|2022.83561643836","2II",1024,937,1960,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"India|NA|OP921000|NC_Sample-1_56_D2|Dengue_2|WG|External|2022-07-29|2022.57260273973","Unassigned",10595,19,10613,"Dengue virus type 2",NA,"Related to but not part of DENV-2 Genotype II - Cosmopolitan",NA,NA,NA
"India|NA|OP921001|NC_Sample-2_58_D2|Dengue_2|WG|External|2022-07-27|2022.56712328767","2II",10674,14,10687,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"Cambodia|NA|OP895918|DENV2_2202_2019|Dengue_2|WG|External|2019-04-15|2019.28493150685","2II",10611,84,10694,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"Malaysia|NA|OP895919|DENV2_7030_2018|Dengue_2|WG|External|2018-11-15|2018.87123287671","2II",10618,89,10706,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"India|NA|OP808344|PKL/CHD/22/2022|Dengue_2|E|External|2022-09-15|2022.70410958904","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"India|NA|OP808345|PKL/CHD/36/2022|Dengue_2|E|External|2022-09-15|2022.70410958904","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"India|NA|OP808346|PKL/CHD/46/2022|Dengue_2|E|External|2022-09-15|2022.70410958904","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"India|NA|OP808347|PKL/CHD/25/2022|Dengue_2|E|External|2022-09-15|2022.70410958904","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"India|NA|OP808348|PKL/CHD/49/2022|Dengue_2|E|External|2022-09-15|2022.70410958904","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"India|NA|OP808349|PKL/CHD/39/2022|Dengue_2|E|External|2022-09-15|2022.70410958904","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"India|NA|OP808350|PKL/CHD/26/2022|Dengue_2|E|External|2022-09-15|2022.70410958904","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"India|NA|OP808351|PKL/CHD/50/2022|Dengue_2|E|External|2022-09-15|2022.70410958904","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"India|NA|OP808352|PKL/CHD/41/2022|Dengue_2|E|External|2022-09-15|2022.70410958904","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"India|NA|OP808353|PKL/CHD/27/2022|Dengue_2|E|External|2022-09-15|2022.70410958904","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"India|NA|OP808354|PKL/CHD/52/2022|Dengue_2|E|External|2022-09-15|2022.70410958904","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"India|NA|OP808355|PKL/CHD/42/2022|Dengue_2|E|External|2022-09-15|2022.70410958904","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"India|NA|OP808356|PKL/CHD/03/2022|Dengue_2|E|External|2022-09-15|2022.70410958904","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"India|NA|OP809581|THSTI-TRC-DENV2-10|Dengue_2|WG|External|2021-06-15|2021.45205479452","Unassigned",10619,14,10632,"Dengue virus type 2",NA,"Related to but not part of DENV-2 Genotype II - Cosmopolitan",NA,NA,NA
"India|NA|OP809582|THSTI-TRC-DENV2-11|Dengue_2|WG|External|2021-06-15|2021.45205479452","2II",10593,13,10605,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"India|NA|OP809583|THSTI-TRC-DENV2-12|Dengue_2|WG|External|2019-06-15|2019.45205479452","2IV",10699,13,10711,"Dengue virus type 2",NA,"DENV-2 Genotype IV - Asian II",100,NA,NA
"India|NA|MZ490487|GKP/DENV-2/1921207/19|Dengue_2|E|External|2019-11-15|2019.87123287671","Unassigned",511,134,644,"Dengue virus type 2",NA,"Related to but not part of DENV-2 Genotype II - Cosmopolitan",NA,NA,NA
"India|NA|MZ490488|GKP/DENV-2/1821036/18|Dengue_2|E|External|2018-10-15|2018.78630136986","Unassigned",502,143,644,"Dengue virus type 2",NA,"Could not assign",NA,NA,NA
"India|NA|MZ490489|GKP/DENV-2/1821090/18|Dengue_2|E|External|2018-10-15|2018.78630136986","Unassigned",497,146,642,"Dengue virus type 2",NA,"Related to but not part of DENV-2 Genotype II - Cosmopolitan",NA,NA,NA
"India|NA|MZ490490|GKP/DENV-2/1821103/18|Dengue_2|E|External|2018-10-15|2018.78630136986","Unassigned",507,136,642,"Dengue virus type 2",NA,"Related to but not part of DENV-2 Genotype II - Cosmopolitan",NA,NA,NA
"India|NA|MZ490491|GKP/DENV-2/1821013/18|Dengue_2|E|External|2018-10-15|2018.78630136986","Unassigned",508,136,643,"Dengue virus type 2",NA,"Could not assign",NA,NA,NA
"India|NA|MZ490492|GKP/DENV-2/1821014/18|Dengue_2|E|External|2018-10-15|2018.78630136986","Unassigned",508,136,643,"Dengue virus type 2",NA,"Related to but not part of DENV-2 Genotype II - Cosmopolitan",NA,NA,NA
"India|NA|MZ490493|GKP/DENV-2/1821025/18|Dengue_2|E|External|2018-10-15|2018.78630136986","Unassigned",507,136,642,"Dengue virus type 2",NA,"Could not assign",NA,NA,NA
"India|NA|MZ490494|GKP/DENV-2/1821032/18|Dengue_2|E|External|2018-10-15|2018.78630136986","Unassigned",509,133,641,"Dengue virus type 2",NA,"Could not assign",NA,NA,NA
"India|NA|MZ490495|GKP/DENV-2/1821038/18|Dengue_2|E|External|2018-10-15|2018.78630136986","Unassigned",509,133,641,"Dengue virus type 2",NA,"Could not assign",NA,NA,NA
"India|NA|MZ490496|GKP/DENV-2/1821046/18|Dengue_2|E|External|2018-10-15|2018.78630136986","Unassigned",507,136,642,"Dengue virus type 2",NA,"Related to but not part of DENV-2 Genotype II - Cosmopolitan",NA,NA,NA
"India|NA|MZ490497|GKP/DENV-2/1821047/18|Dengue_2|E|External|2018-10-15|2018.78630136986","Unassigned",501,142,642,"Dengue virus type 2",NA,"Related to but not part of DENV-2 Genotype II - Cosmopolitan",NA,NA,NA
"India|NA|MZ490498|GKP/DENV-2/1821049/18|Dengue_2|E|External|2018-10-15|2018.78630136986","Unassigned",507,136,642,"Dengue virus type 2",NA,"Related to but not part of DENV-2 Genotype II - Cosmopolitan",NA,NA,NA
"India|NA|MZ490499|GKP/DENV-2/1821056/18|Dengue_2|E|External|2018-10-15|2018.78630136986","Unassigned",508,136,643,"Dengue virus type 2",NA,"Related to but not part of DENV-2 Genotype II - Cosmopolitan",NA,NA,NA
"India|NA|MZ490500|GKP/DENV-2/1821068/18|Dengue_2|E|External|2018-10-15|2018.78630136986","Unassigned",507,136,642,"Dengue virus type 2",NA,"Could not assign",NA,NA,NA
"India|NA|MZ490501|GKP/DENV-2/1921005/19|Dengue_2|E|External|2019-11-15|2019.87123287671","Unassigned",507,136,642,"Dengue virus type 2",NA,"Related to but not part of DENV-2 Genotype II - Cosmopolitan",NA,NA,NA
"India|NA|MZ490502|GKP/DENV-2/1921006/19|Dengue_2|E|External|2019-11-15|2019.87123287671","Unassigned",507,136,642,"Dengue virus type 2",NA,"Related to but not part of DENV-2 Genotype II - Cosmopolitan",NA,NA,NA
"India|NA|MZ490503|GKP/DENV-2/1921016/19|Dengue_2|E|External|2019-11-15|2019.87123287671","Unassigned",454,158,611,"Dengue virus type 2",NA,"Could not assign",NA,NA,NA
"India|NA|MZ490504|GKP/DENV-2/1921019/19|Dengue_2|E|External|2019-11-15|2019.87123287671","Unassigned",454,158,611,"Dengue virus type 2",NA,"Could not assign",NA,NA,NA
"India|NA|MZ490505|GKP/DENV-2/1921022/19|Dengue_2|E|External|2019-11-15|2019.87123287671","Unassigned",507,136,642,"Dengue virus type 2",NA,"Related to but not part of DENV-2 Genotype II - Cosmopolitan",NA,NA,NA
"India|NA|MZ490506|GKP/DENV-2/1921044/19|Dengue_2|E|External|2019-11-15|2019.87123287671","Unassigned",507,136,642,"Dengue virus type 2",NA,"Related to but not part of DENV-2 Genotype II - Cosmopolitan",NA,NA,NA
"India|NA|MZ490507|GKP/DENV-2/1821074/18|Dengue_2|E|External|2018-10-15|2018.78630136986","2II",464,179,642,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",99,NA,NA
"India|NA|MZ490508|GKP/DENV-2/1821079/18|Dengue_2|E|External|2018-10-15|2018.78630136986","Unassigned",507,136,642,"Dengue virus type 2",NA,"Related to but not part of DENV-2 Genotype II - Cosmopolitan",NA,NA,NA
"India|NA|MZ490509|GKP/DENV-2/1821081/18|Dengue_2|E|External|2018-10-15|2018.78630136986","Unassigned",482,148,629,"Dengue virus type 2",NA,"Could not assign",NA,NA,NA
"India|NA|MZ490510|GKP/DENV-2/1921120/19|Dengue_2|E|External|2019-11-15|2019.87123287671","Unassigned",510,132,641,"Dengue virus type 2",NA,"Could not assign",NA,NA,NA
"India|NA|MZ490511|GKP/DENV-2/1921257/19|Dengue_2|E|External|2019-11-15|2019.87123287671","Unassigned",500,132,631,"Dengue virus type 2",NA,"Could not assign",NA,NA,NA
"India|NA|MZ490512|GKP/DENV-2/1921175/19|Dengue_2|E|External|2019-11-15|2019.87123287671","Unassigned",500,132,631,"Dengue virus type 2",NA,"Could not assign",NA,NA,NA
"India|NA|MZ490513|GKP/DENV-2/1821101/18|Dengue_2|E|External|2018-10-15|2018.78630136986","2II",440,190,629,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"Indonesia|Jambi|OL960212|D2/IDN_Jambi_043/2016|Dengue_2|E|External|2016-09-16|2016.70684931507","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"Indonesia|Jambi|OL960213|D2/IDN_Jambi_038/2016|Dengue_2|E|External|2016-08-24|2016.64383561644","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"Indonesia|Jambi|OL960214|D2/IDN_Jambi_032/2016|Dengue_2|E|External|2016-08-11|2016.60821917808","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"Indonesia|Jambi|OL960215|D2/IDN_Jambi_029/2016|Dengue_2|E|External|2016-08-08|2016.6","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"Indonesia|Jambi|OL960216|D2/IDN_Jambi_025/2016|Dengue_2|E|External|2016-12-22|2016.97260273973","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
