#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000002	1990-07-25	1990.562225	1987.236794	1995.345107
NODE_0002391	1994-12-03	1994.920757	1991.997484	1998.937243
NODE_0002392	1997-08-21	1997.635967	1994.873973	2001.062214
NODE_0002393	2005-05-02	2005.332819	2003.344644	2007.197966
Indonesia|Makassar|KC762678|MKS-WS73|Dengue_2|WG|External|2010-03-04|2010.1698630137	2010-03-04	2010.171233	2010.171233	2010.171233
NODE_0002395	2010-05-26	2010.399340	2008.549050	2011.870913
Singapore|NA|MW512414|SG_EHI_D2/47654Y14|Dengue_2|WG|External|2014-06-15|2014.45205479452	2014-06-15	2014.453425	2014.453425	2014.453425
Indonesia|NA|KT781550|Indonesia_2013b|Dengue_2|E|External|2013-06-15|2013.45205479452	2013-06-15	2013.453425	2013.453425	2013.453425
NODE_0002396	2007-09-25	2007.731765	2005.863402	2009.283339
Taiwan|NA|MG895006||Dengue_2|E|External|2012-05-16|2012.3698630137	2012-05-16	2012.372951	2012.372951	2012.372951
Indonesia|Bali|KM216696|D2/IDN/Bali_035/2010|Dengue_2|E|External|2010-12-26|2010.98356164384	2010-12-26	2010.984932	2010.984932	2010.984932
NODE_0002397	2011-05-03	2011.336377	2009.320761	2013.006536
NODE_0002398	2012-02-25	2012.151510	2010.430184	2013.455347
China|NA|MG737917|D2/China/GDsw/D15024/2015_PapuaNewGuinea_|Dengue_2|E|External|2015-06-15|2015.45205479452	2015-06-15	2015.453425	2015.453425	2015.453425
NODE_0002399	2015-05-17	2015.373973	2014.909712	2015.373973
China|Guangdong_Province|MN018351|D15024|Dengue_2|WG|External|2015-05-17|2015.37260273973	2015-05-17	2015.373973	2015.373973	2015.373973
China|NA|MH827526|D2/China/GDsw/D15024/2015_New_Guinea_|Dengue_2|WG|External|2017-06-15|2017.45205479452	2017-06-15	2017.453425	2017.453425	2017.453425
NODE_0000009	2015-11-30	2015.912832	2014.052142	2016.146175
China|Guangdong_Province|MN018363|D16161|Dengue_2|WG|External|2016-02-23|2016.14520547945	2016-02-23	2016.146175	2016.146175	2016.146175
NODE_0000010	2016-06-15	2016.454918	2015.508647	2016.454918
China|NA|MG840594|D2/China/GDzs/D16161/2016_Papua_New_Guinea_|Dengue_2|E|External|2016-06-15|2016.45205479452	2016-06-15	2016.454918	2016.454918	2016.454918
China|NA|MH827544|D2/China/GDzs/GD16161/2016_New_Guinea_|Dengue_2|WG|External|2017-06-15|2017.45205479452	2017-06-15	2017.453425	2017.453425	2017.453425
NODE_0002402	1998-07-28	1998.570609	1995.930554	2001.915635
NODE_0002403	2006-10-02	2006.752742	2004.099643	2009.216552
Taiwan|NA|MG895055||Dengue_2|E|External|2014-02-05|2014.09589041096	2014-02-05	2014.097260	2014.097260	2014.097260
Malaysia|NA|KT175117||Dengue_2|E|External|2014-06-15|2014.45205479452	2014-06-15	2014.453425	2014.453425	2014.453425
NODE_0002404	1999-12-01	1999.916037	1997.566808	2002.754894
NODE_0002405	2007-12-25	2007.981156	2005.609040	2009.695620
Indonesia|NA|JF968023||Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0002406	2012-01-19	2012.050549	2010.335947	2013.262519
Malaysia|Johor_Bahru|KX452015||Dengue_2|WG|External|2014-01-15|2014.03835616438	2014-01-15	2014.039726	2014.039726	2014.039726
Indonesia|Surabaya|KT012519|D2/SBY2/14|Dengue_2|E|External|2014-06-15|2014.45205479452	2014-06-15	2014.453425	2014.453425	2014.453425
NODE_0002407	2003-11-11	2003.862837	2001.759520	2006.189008
NODE_0002408	2007-03-30	2007.242517	2005.793278	2008.548625
Singapore|NA|JN030234|SG_EHI_D2/90243Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0002410	2010-09-25	2010.732136	2008.859016	2012.184946
Malaysia|NA|KJ806911|MYS_Selangor_D2/1570Y13|Dengue_2|E|External|2013-06-15|2013.45205479452	2013-06-15	2013.453425	2013.453425	2013.453425
Malaysia|NA|KJ806922|MYS_NSembilan_D2/4460Y13|Dengue_2|E|External|2013-06-15|2013.45205479452	2013-06-15	2013.453425	2013.453425	2013.453425
NODE_0002411	2008-09-13	2008.700839	2007.935576	2009.543041
Singapore|NA|JN030248|SG_EHI_D2/90609Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN380857|SG_EHI_D2/10864Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030249|SG_EHI_D2/10001Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN196595|SG_EHI_D2/39905Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030286|SG_EHI_D2/12875Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030236|SG_EHI_D2/33107Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030246|SG_EHI_D2/27217Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN196587|SG_EHI_D2/37766Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030299|SG_EHI_D2/24762Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0002412	2010-06-15	2010.453425	2009.850263	2010.453425
Singapore|NA|JN030300|SG_EHI_D2/97852Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030301|SG_EHI_D2/84648Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0002444	2010-06-15	2010.453425	2009.544967	2010.453425
Singapore|NA|JN380856|SG_EHI_D2/71407Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|MW512360|SG_EHI_D2/EHI71407SEP10Y10|Dengue_2|WG|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0002445	2009-03-14	2009.197600	2008.401137	2010.052372
Singapore|NA|JN196594|SG_EHI_D2/10308Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0002446	2009-12-05	2009.926722	2009.308058	2010.413131
Singapore|NA|JN030315|SG_EHI_D2/12800Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000025	2010-06-15	2010.453425	2009.879133	2010.453425
Singapore|NA|JN030316|SG_EHI_D2/39816Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030280|SG_EHI_D2/34982Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000026	2009-07-21	2009.550810	2008.539096	2010.453425
NODE_0000028	2009-12-11	2009.942538	2009.225412	2010.453425
NODE_0000029	2010-06-15	2010.453425	2009.901475	2010.453425
Singapore|NA|JN196582|SG_EHI_D2/34630Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN196589|SG_EHI_D2/17649Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000030	2010-06-15	2010.453425	2009.901475	2010.453425
Singapore|NA|JN196588|SG_EHI_D2/58637Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN196583|SG_EHI_D2/27173Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000031	2010-01-06	2010.015376	2009.333683	2010.453425
NODE_0000032	2011-01-15	2011.039726	2010.149465	2011.039726
Singapore|NA|MW512363|SG_EHI_D2/93047Y11|Dengue_2|WG|External|2011-06-15|2011.45205479452	2011-06-15	2011.453425	2011.453425	2011.453425
Singapore|NA|JN544379|SG_EHI_D2/93047Y11|Dengue_2|E|External|2011-01-15|2011.03835616438	2011-01-15	2011.039726	2011.039726	2011.039726
NODE_0000034	2010-06-15	2010.453425	2009.936180	2010.453425
Singapore|NA|JN196581|SG_EHI_D2/23732Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|MW510243|SG_EHI_D2/23732Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000035	2008-11-30	2008.914777	2007.384367	2010.450695
NODE_0000038	2009-05-25	2009.396403	2008.232225	2010.453425
NODE_0000039	2010-06-15	2010.453425	2009.598589	2010.453425
Singapore|NA|JN030221|SG_EHI_D2/35983Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030219|SG_EHI_D2/41253Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000040	2009-12-05	2009.926939	2009.130768	2010.453425
NODE_0000041	2010-06-15	2010.453425	2009.858181	2010.453425
Singapore|NA|JN030225|SG_EHI_D2/81928Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030275|SG_EHI_D2/86998Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000048	2010-06-15	2010.453425	2009.858181	2010.453425
Singapore|NA|JN030272|SG_EHI_D2/31899Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030223|SG_EHI_D2/03627Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000049	2009-02-27	2009.157721	2007.831711	2010.453425
NODE_0000050	2009-06-27	2009.485909	2008.427310	2010.453425
NODE_0000051	2009-11-26	2009.903539	2009.157195	2010.453425
NODE_0000052	2010-06-15	2010.453425	2009.879372	2010.453425
Singapore|NA|JN030224|SG_EHI_D2/51020Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|JN030220|SG_EHI_D2/56592Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000053	2010-06-15	2010.453425	2009.879372	2010.453425
Singapore|NA|JN030228|SG_EHI_D2/97518Y10|Dengue_2|E|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
Singapore|NA|KM279607|SG_EHI_D286998Y10|Dengue_2|WG|External|2010-06-15|2010.45205479452	2010-06-15	2010.453425	2010.453425	2010.453425
NODE_0000054	2009-11-26	2009.903539	2009.157195	2010.453425
