Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Molecule_type,Length,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date
OP999336,"Bohl,J.A., Lay,S., Chea,S., Ahyong,V., Parker,D.M., Gallagher,S., Fintzi,J., Man,S., Ponce,A., Sreng,S., Kong,D., Oliveira,F., Kalantar,K., Tan,M., Fahsbender,L., Sheu,J., Neff,N., Detweiler,A.M., Yek,C., Ly,S., Sath,R., Huch,C., Kry,H., Leang,R., Huy,R., Lon,C., Tato,C.M., DeRisi,J.L., Manning,J.E., Pacheco,A.R., Oum,M.","NIAID-NIH, LMVR",USA,2022-12-18T00:00:00Z,109-0389,Dengue virus,ssRNA(+),10694,Cambodia,Cambodia,,Homo sapiens,blood,2020-09
OP999339,"Bohl,J.A., Lay,S., Chea,S., Ahyong,V., Parker,D.M., Gallagher,S., Fintzi,J., Man,S., Ponce,A., Sreng,S., Kong,D., Oliveira,F., Kalantar,K., Tan,M., Fahsbender,L., Sheu,J., Neff,N., Detweiler,A.M., Yek,C., Ly,S., Sath,R., Huch,C., Kry,H., Leang,R., Huy,R., Lon,C., Tato,C.M., DeRisi,J.L., Manning,J.E., Oum,M.","National Institutes of Allergy and Infectious Diseases, Laboratory of Malaria and Vector Research",USA,2022-12-18T00:00:00Z,109-0384,Dengue virus,ssRNA(+),10693,Cambodia,Cambodia,,Homo sapiens,blood,2010-09
OQ000263,"Bohl,J.A., Lay,S., Chea,S., Ahyong,V., Parker,D.M., Gallagher,S., Fintzi,J., Man,S., Ponce,A., Sreng,S., Kong,D., Oliveira,F., Kalantar,K., Tan,M., Fahsbender,L., Sheu,J., Neff,N., Detweiler,A.M., Yek,C., Ly,S., Sath,R., Huch,C., Kry,H., Leang,R., Huy,R., Lon,C., Tato,C.M., DeRisi,J.L., Manning,J.E., Oum,M.","NIAID-NIH, LMVR",USA,2022-12-18T00:00:00Z,109-0408,Dengue virus,ssRNA(+),10477,Cambodia,Cambodia,,Homo sapiens,blood,2020-09
OQ028205,"Tran,V.T., Duong,K.T.H., Nguyen,N.M., Huynh,D.T.L., Ho,C.Q., Nguyen,P.T., Nguyen,C.V.V., Phan,Q.T., Huynh,T., Luong,T.H., Nguyen,H.V., Duong,T.B., Cao,T., Dong,T.H., McBride,A., Wills,B., Simmons,C.P., Yacoub,S.","Oxford University Clinical Research Unit, Dengue",Viet Nam,2022-12-18T00:00:00Z,44DX3-071,Dengue virus,ssRNA(+),1485,Viet Nam,Viet Nam,,Homo sapiens,blood,2017-03-27
OQ028206,"Tran,V.T., Duong,K.T.H., Nguyen,N.M., Huynh,D.T.L., Ho,C.Q., Nguyen,P.T., Nguyen,C.V.V., Phan,Q.T., Huynh,T., Luong,T.H., Nguyen,H.V., Duong,T.B., Cao,T., Dong,T.H., McBride,A., Wills,B., Simmons,C.P., Yacoub,S.","Oxford University Clinical Research Unit, Dengue",Viet Nam,2022-12-18T00:00:00Z,44DX3-253,Dengue virus,ssRNA(+),1485,Viet Nam,Viet Nam,,Homo sapiens,blood,2018-03-21
OQ028207,"Tran,V.T., Duong,K.T.H., Nguyen,N.M., Huynh,D.T.L., Ho,C.Q., Nguyen,P.T., Nguyen,C.V.V., Phan,Q.T., Huynh,T., Luong,T.H., Nguyen,H.V., Duong,T.B., Cao,T., Dong,T.H., McBride,A., Wills,B., Simmons,C.P., Yacoub,S.","Oxford University Clinical Research Unit, Dengue",Viet Nam,2022-12-18T00:00:00Z,44DX3-305,Dengue virus,ssRNA(+),1485,Viet Nam,Viet Nam,,Homo sapiens,blood,2019-07-03
OQ028208,"Tran,V.T., Duong,K.T.H., Nguyen,N.M., Huynh,D.T.L., Ho,C.Q., Nguyen,P.T., Nguyen,C.V.V., Phan,Q.T., Huynh,T., Luong,T.H., Nguyen,H.V., Duong,T.B., Cao,T., Dong,T.H., McBride,A., Wills,B., Simmons,C.P., Yacoub,S.","Oxford University Clinical Research Unit, Dengue",Viet Nam,2022-12-18T00:00:00Z,44DX3-313,Dengue virus,ssRNA(+),1485,Viet Nam,Viet Nam,,Homo sapiens,blood,2019-07-15
OQ028209,"Tran,V.T., Duong,K.T.H., Nguyen,N.M., Huynh,D.T.L., Ho,C.Q., Nguyen,P.T., Nguyen,C.V.V., Phan,Q.T., Huynh,T., Luong,T.H., Nguyen,H.V., Duong,T.B., Cao,T., Dong,T.H., McBride,A., Wills,B., Simmons,C.P., Yacoub,S.","Oxford University Clinical Research Unit, Dengue",Viet Nam,2022-12-18T00:00:00Z,44DX3-356,Dengue virus,ssRNA(+),1485,Viet Nam,Viet Nam,,Homo sapiens,blood,2020-08-31
OQ028210,"Tran,V.T., Duong,K.T.H., Nguyen,N.M., Huynh,D.T.L., Ho,C.Q., Nguyen,P.T., Nguyen,C.V.V., Phan,Q.T., Huynh,T., Luong,T.H., Nguyen,H.V., Duong,T.B., Cao,T., Dong,T.H., McBride,A., Wills,B., Simmons,C.P., Yacoub,S.","Oxford University Clinical Research Unit, Dengue",Viet Nam,2022-12-18T00:00:00Z,44DX3-357,Dengue virus,ssRNA(+),1485,Viet Nam,Viet Nam,,Homo sapiens,blood,2020-09-01
OQ028211,"Tran,V.T., Duong,K.T.H., Nguyen,N.M., Huynh,D.T.L., Ho,C.Q., Nguyen,P.T., Nguyen,C.V.V., Phan,Q.T., Huynh,T., Luong,T.H., Nguyen,H.V., Duong,T.B., Cao,T., Dong,T.H., McBride,A., Wills,B., Simmons,C.P., Yacoub,S.","Oxford University Clinical Research Unit, Dengue",Viet Nam,2022-12-18T00:00:00Z,44DX3-379,Dengue virus,ssRNA(+),1485,Viet Nam,Viet Nam,,Homo sapiens,blood,2020-11-09
